filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 36C 18 (cropped)_c5m-50.csv,664,GTY029 36C 18 (cropped),Mito 4,Mito,Object,1.83,689,946,821.85,1264822,38.32,798.51,1619.14,1092.18,1680858.75,135.27,338,723,456.03,701831,51.87,676.83,5394.38,1197.42,1842829,548.47,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,665,GTY029 36C 18 (cropped),Mito 5,Mito,Object,0.0393,784,933,846.58,27937,31.5,813.73,1124.07,979.35,32318.53,76.39,309,402,352.27,11625,24.97,677.19,982.09,787.1,25974.25,82.94,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,666,GTY029 36C 18 (cropped),Mito 6,Mito,Object,1.49,687,968,822.86,1027749,42.36,662.53,1613.86,1087.81,1358677,184.84,335,762,501.52,626395,73.29,677.25,4956.86,1484.66,1854339,823.67,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,667,GTY029 36C 18 (cropped),Mito 7,Mito,Object,3.21,705,1123,887.25,2391143,65.66,651.67,2263.12,1271.92,3427829.5,325.88,372,1143,661.74,1783376,134.64,677.11,7508.24,1739.48,4687897,1060.65,NA,659
GTY029 36C 18 (cropped)_c5m-50.csv,668,GTY029 36C 18 (cropped),Mito 8,Mito,Object,3,758,1151,909.67,2294186,52.34,698.51,2670.17,1318.64,3325622.25,258.44,306,857,456.43,1151117,83.88,676.89,7345.55,1283.47,3236916.25,848.36,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,669,GTY029 36C 18 (cropped),Mito 9,Mito,Object,0.811,794,1114,945.68,644006,42.02,949.66,1742.61,1260.99,858736.75,133.01,354,572,445.65,303486,35.11,676.87,1876.69,955.69,650824.56,232.79,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,670,GTY029 36C 18 (cropped),Mito 10,Mito,Object,0.4,717,942,821.05,275872,41.97,753.87,1871.9,1155.31,388182.97,234.45,362,681,483.72,162531,63.88,677.3,5081.53,1495.48,502479.72,947.1,NA,659
GTY029 36C 18 (cropped)_c5m-50.csv,671,GTY029 36C 18 (cropped),Mito 11,Mito,Object,0.362,709,949,817.58,248543,45.32,675.01,1811.38,1102.45,335145.84,254.2,352,657,462,140447,57.24,676.94,5779.88,1512.51,459803.5,917.31,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,672,GTY029 36C 18 (cropped),Mito 12,Mito,Object,0.0583,715,855,783.43,38388,34.35,888.65,1268.54,1054.63,51677.02,102.59,289,366,326.18,15983,16.12,677.34,1055.11,795.9,38999.34,90.53,NA,NA
GTY029 36C 18 (cropped)_c5m-50.csv,673,GTY029 36C 18 (cropped),Mito 13,Mito,Object,6.49,722,1253,988.04,5383809,82.77,562.31,3588.18,1396.17,7607746,421.24,349,1094,671.05,3656539,134.4,676.81,7631.64,1754.85,9562170,986.7,NA,NA
